epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.11709921621440116,0.2898139,0.11709925,0.02801708621966027,0.1272975,0.028017083
1,0.025211304654256826,0.104333855,0.0252113,0.024708320824957636,0.09164556,0.02470832
2,0.024350108966438206,0.09496081,0.024350107,0.02477408744365647,0.09113283,0.024774084
3,0.02429494670863872,0.094730124,0.024294952,0.024773148356929568,0.09230434,0.024773145
4,0.024261726964613477,0.09470925,0.02426173,0.024600063822048844,0.093883306,0.024600064
5,0.0242278017300849,0.09466062,0.024227802,0.024808482316722773,0.09379184,0.024808481
6,0.02420626869226391,0.09463516,0.02420627,0.025173100344453907,0.09290645,0.0251731
7,0.024187347848446207,0.094602734,0.024187349,0.024460248031880148,0.09316141,0.024460247
8,0.024165539203314462,0.09455401,0.024165537,0.024362042167419412,0.09282774,0.02436204
9,0.02412659567115015,0.094469644,0.024126595,0.024340401544848646,0.0932583,0.024340399
10,0.024053731432666405,0.09430123,0.024053728,0.024256503299799535,0.09381142,0.024256503
11,0.023940239576516205,0.094051644,0.023940241,0.02451462047516744,0.094117485,0.024514623
12,0.023843371873276134,0.093778595,0.023843374,0.024428088336501234,0.09445723,0.02442809
13,0.023765270962949083,0.093612164,0.023765268,0.024348281121360477,0.096408434,0.024348281
14,0.023647011781498264,0.09334599,0.023647014,0.024324293726351264,0.09639335,0.024324292
15,0.023536488510245368,0.09307374,0.023536492,0.024430330073126047,0.09664518,0.02443033
16,0.02345156650789407,0.09284642,0.023451567,0.024622496285479367,0.09694907,0.024622496
17,0.023368318568881354,0.09268847,0.02336832,0.024975677666576327,0.09773866,0.024975676
18,0.023289089949580285,0.09252295,0.023289086,0.025425205147705434,0.09578096,0.025425207
19,0.02317939600666096,0.09231222,0.023179397,0.02564807265353536,0.09428852,0.025648072
