epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.16868792022126866,0.36736256,0.16868791,0.09041527971748607,0.28661948,0.090415284
1,0.06650506942659141,0.22454996,0.06650507,0.032914681951874976,0.15000446,0.032914683
2,0.028761532989254393,0.12867351,0.028761534,0.025365952303099255,0.1088565,0.025365954
3,0.024901325358062134,0.105111055,0.024901323,0.024661666830916862,0.09896329,0.024661664
4,0.024431790439200293,0.09850969,0.024431795,0.024594538512210065,0.096582115,0.024594538
5,0.024343846508593222,0.0961948,0.024343846,0.024566240791301826,0.09698137,0.024566239
6,0.024322624006933777,0.09537927,0.024322622,0.02452812693685203,0.09600408,0.024528127
7,0.02431022803729877,0.095090635,0.024310227,0.024502302080439377,0.09485989,0.024502302
8,0.024295723725884427,0.09500317,0.024295725,0.024495913363675022,0.09427278,0.024495915
9,0.02429320686785003,0.09499196,0.024293205,0.02448057487131471,0.09514104,0.024480576
