epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.16945522908181493,0.36658671,0.16945526,0.08820519072081578,0.28200263,0.08820519
1,0.06515368205020299,0.22215256,0.06515367,0.031203835602611956,0.14152804,0.031203836
2,0.030132435026773596,0.12982462,0.030132433,0.025621711947113573,0.10694599,0.025621712
3,0.026144583289783974,0.10647273,0.026144587,0.02521035368260196,0.09945153,0.025210353
4,0.02560594317097339,0.10005621,0.025605943,0.02517774693466805,0.09759113,0.025177745
5,0.025490186902000212,0.0979738,0.025490193,0.025179999904851005,0.096097834,0.02518
6,0.025436312318213694,0.09729638,0.025436312,0.02516973298560377,0.096275635,0.025169732
7,0.0253939622250231,0.09708849,0.025393963,0.02517734990561281,0.09631164,0.025177352
8,0.02537116733229691,0.097101964,0.025371166,0.025173121543205782,0.09596185,0.02517312
9,0.025355660302286847,0.09710732,0.02535566,0.025166194123689305,0.0961894,0.025166193
